type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,n_personas
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-77,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,1893708560,0,110,0,0,1894.09,384,[110 96 6 0 0 0 0 0 0 0 0 0 -22 43 -25 35 -25 41 -30 36 -24 44 -31 34 -29 41 -31 38 -32 38 -30 36 -31 41 -37 39 -38 41 -35 35 -31 35 -39 41 -35 33 -30 27 -38 35 -32 27 -34 30 -30 30 -27 29 -30 27 -25 31 -29 40 0 0 -29 33 -34 38 -29 38 -28 31 -24 32 -31 23 -20 28 -9 21 -24 36 -16 29 -24 27 -7 30 -19 32 -18 26 -17 37 -14 30 -17 39 -9 34 -13 35 -16 35 -10 29 -11 26 -8 29 -9 30 -7 29 -10 26 0 0 0 0 0 0 0 0 0 0 ],0
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-72,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,1893800629,0,110,0,0,1894.18,128,[110 96 6 0 0 0 0 0 0 0 0 0 0 26 1 26 1 27 1 28 0 26 -2 26 -1 29 -3 25 -2 28 -2 26 -3 28 -2 27 -5 29 -3 27 -5 26 -4 28 -4 26 -3 23 -4 25 -4 24 -5 24 -4 24 -3 21 -3 23 -4 23 -3 24 0 0 -3 23 -3 23 -1 24 -1 22 0 20 -3 23 -1 19 -1 21 0 21 0 19 -1 21 1 19 2 20 0 18 0 19 1 20 1 18 2 18 1 18 2 17 1 15 2 16 3 15 3 15 3 14 2 15 0 0 0 0 0 0 0 0 0 0 ],0
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-76,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,1893996439,0,82,0,0,1894.37,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -14 18 -18 16 -18 20 -20 18 -19 19 -18 15 -20 18 -21 15 -19 15 -21 17 -21 15 -24 15 -23 14 -21 13 -21 12 -23 14 -20 15 -21 14 -22 14 -19 14 -19 13 -20 12 -20 10 -21 14 -20 14 -19 14 0 0 -19 11 -18 13 -17 12 -17 13 -16 13 -16 13 -16 13 -15 13 -12 13 -12 12 -15 14 -13 13 -14 12 -11 14 -11 15 -10 12 -11 12 -9 12 -11 13 -10 14 -9 15 -10 13 -9 11 -11 12 -9 12 -7 10 0 0 0 0 0 0 0 0 0 0 ],0
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-72,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,1893999805,0,110,0,0,1894.41,128,[110 96 6 0 0 0 0 0 0 0 0 0 4 26 1 26 3 28 1 28 1 28 -1 27 -1 29 0 26 0 27 -2 25 -3 29 -1 28 -3 28 -2 27 -3 25 -4 26 -4 27 -2 24 -2 25 -3 25 -2 22 -3 23 -2 22 -4 24 -1 24 -3 24 0 0 0 21 -2 22 -1 24 -1 23 0 19 -1 20 0 22 0 19 2 20 2 18 1 21 0 18 2 19 2 19 2 20 0 19 1 20 2 18 1 17 3 16 2 16 3 15 3 16 4 16 4 15 4 14 0 0 0 0 0 0 0 0 0 0 ],0
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-77,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,1894000592,0,110,0,0,1894.45,384,[110 96 6 0 0 0 0 0 0 0 0 0 -8 27 -12 24 -14 24 -12 25 -14 24 -15 22 -13 26 -13 23 -15 27 -15 23 -17 22 -17 25 -22 23 -16 22 -14 21 -16 24 -15 23 -15 22 -15 21 -15 20 -14 20 -15 19 -11 16 -13 20 -15 21 -13 20 0 0 -12 21 -11 19 -11 19 -9 21 -11 20 -9 21 -11 18 -9 18 -9 19 -7 20 -7 21 -5 20 -6 19 -6 19 -5 19 -4 19 -8 20 -1 17 -2 17 -1 16 -5 15 -1 19 -1 15 0 17 -3 16 -1 16 0 0 0 0 0 0 0 0 0 0 ],0
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-72,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,1894201276,0,110,0,0,1894.58,128,[110 96 6 0 0 0 0 0 0 0 0 0 -25 -4 -23 -6 -25 -5 -26 -7 -24 -8 -24 -7 -25 -8 -23 -9 -24 -8 -25 -7 -28 -8 -23 -10 -24 -10 -24 -10 -22 -9 -24 -9 -23 -8 -22 -7 -22 -8 -21 -9 -20 -7 -22 -7 -20 -6 -21 -9 -22 -7 -20 -8 0 0 -21 -6 -20 -6 -22 -4 -21 -4 -20 -4 -20 -4 -20 -3 -19 -3 -19 -1 -16 -4 -20 -3 -18 -2 -19 -2 -18 -2 -18 -2 -19 -2 -19 0 -18 -1 -17 -1 -17 1 -16 1 -16 0 -15 2 -16 1 -15 2 -14 2 0 0 0 0 0 0 0 0 0 0 ],0
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-72,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,1894203203,0,110,0,0,1894.62,128,[110 96 6 0 0 0 0 0 0 0 0 0 6 -24 7 -25 7 -25 8 -27 9 -24 8 -24 11 -25 8 -21 10 -25 10 -23 13 -24 15 -24 12 -22 10 -23 11 -21 11 -23 11 -22 9 -20 9 -22 8 -20 9 -20 8 -23 9 -20 7 -21 8 -21 10 -22 0 0 7 -21 6 -21 2 -24 4 -24 3 -20 6 -24 3 -19 3 -18 8 -28 15 -25 7 -20 4 -17 0 -20 1 -18 4 -17 0 -20 0 -17 1 -18 1 -19 -2 -17 -1 -14 -1 -16 -1 -16 0 -15 -3 -15 -3 -13 0 0 0 0 0 0 0 0 0 0 ],0
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-76,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,1894247619,0,110,0,0,1894.66,384,[110 96 6 0 0 0 0 0 0 0 0 0 -10 19 -8 18 -10 20 -12 20 -11 21 -10 18 -14 19 -10 18 -13 20 -13 18 -16 19 -14 19 -15 19 -14 19 -13 18 -15 17 -13 18 -11 16 -12 13 -16 21 -9 16 -14 17 -9 13 -14 15 -14 16 -16 14 0 0 -10 16 -16 16 -10 15 -13 10 -11 15 -9 15 -12 11 -9 14 -7 11 -8 12 -8 18 -9 12 -6 16 -6 13 -8 17 -7 14 -7 14 -5 12 -6 13 -4 17 -5 12 -5 12 -2 13 -3 13 -2 14 -2 13 0 0 0 0 0 0 0 0 0 0 ],0
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-77,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,1894356666,0,110,0,0,1894.73,384,[110 96 6 0 0 0 0 0 0 0 0 0 -17 -21 -13 -20 -18 -23 -16 -22 -13 -23 -13 -21 -12 -23 -11 -23 -12 -24 -11 -24 -12 -22 -13 -25 -10 -23 -12 -24 -10 -21 -11 -23 -11 -22 -9 -21 -10 -21 -9 -23 -10 -20 -8 -22 -8 -22 -9 -21 -11 -22 -10 -20 0 0 -9 -19 -11 -20 -10 -18 -11 -21 -11 -18 -11 -17 -9 -18 -12 -18 -13 -14 -11 -15 -13 -15 -12 -16 -11 -16 -11 -15 -11 -15 -12 -15 -13 -13 -11 -13 -12 -14 -11 -12 -13 -13 -11 -14 -14 -11 -12 -11 -12 -10 -10 -10 0 0 0 0 0 0 0 0 0 0 ],0
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-77,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,1894432927,0,110,0,0,1894.81,384,[110 96 6 0 0 0 0 0 0 0 0 0 -19 14 -19 12 -21 14 -22 15 -22 13 -22 12 -22 14 -21 11 -24 13 -19 13 -22 14 -29 15 -24 9 -22 10 -22 9 -23 10 -25 9 -21 11 -21 11 -22 10 -22 9 -20 8 -21 8 -21 8 -22 10 -20 7 0 0 -18 8 -16 11 -18 11 -16 13 -15 10 -17 12 -19 10 -14 14 -16 8 -16 13 -16 12 -11 12 -13 10 -15 13 -13 13 -11 13 -13 14 -11 14 -11 14 -10 12 -9 11 -11 12 -10 11 -9 13 -10 11 -9 10 0 0 0 0 0 0 0 0 0 0 ],0
