type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,n_personas
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-74,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,403197537,0,110,0,0,403.575,128,[110 96 6 0 0 0 0 0 0 0 0 0 22 -17 20 -16 24 -17 23 -17 22 -16 22 -15 23 -16 21 -17 24 -16 23 -14 25 -16 23 -17 25 -14 23 -16 21 -14 23 -15 23 -14 20 -14 22 -13 19 -15 20 -14 19 -13 18 -13 18 -13 20 -15 19 -12 0 0 16 -15 18 -14 17 -15 14 -15 14 -14 14 -14 13 -14 12 -14 12 -16 11 -11 12 -14 10 -11 12 -14 10 -13 10 -13 10 -13 9 -13 8 -11 8 -12 7 -9 9 -1 -1 -13 7 -11 13 -4 5 -11 3 -11 0 0 0 0 0 0 0 0 0 0 ],6
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-78,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,403271832,0,110,0,0,403.649,384,[110 96 6 0 0 0 0 0 0 0 0 0 24 -3 21 -3 24 -1 22 -2 21 0 23 -4 28 4 24 9 29 2 22 2 25 -1 24 5 27 2 23 3 23 0 23 6 26 5 23 8 24 6 23 6 22 1 23 6 19 3 20 3 18 2 18 -2 0 0 18 2 20 3 16 4 15 1 19 0 15 1 17 4 14 0 16 -1 11 -6 15 -4 15 -5 12 -1 12 -3 14 -1 13 -5 10 -4 12 -3 12 -4 11 -2 8 -4 11 -3 10 -4 8 -6 9 -3 6 -4 0 0 0 0 0 0 0 0 0 0 ],6
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-73,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,403368103,0,110,0,0,403.746,128,[110 96 6 0 0 0 0 0 0 0 0 0 -62 -4 -58 -4 -66 -4 -61 -7 -65 -6 -58 -10 -62 -13 -57 -20 -62 -14 -64 -11 -64 -27 -58 -10 -60 -25 -52 -2 -61 -4 -67 -14 -37 -14 -56 -13 -53 0 -58 -38 -36 2 -65 -29 -50 -6 -29 0 -65 -17 -65 -7 0 0 -45 -25 -52 3 -77 -32 -52 -18 -45 -14 -73 -12 -43 -12 -56 -5 -39 -14 -38 7 -41 -6 -43 0 -55 0 -39 -9 -35 1 -47 1 -48 -3 -41 -2 -43 -5 -31 5 -35 3 -38 6 -33 -1 -37 3 -28 4 -32 8 0 0 0 0 0 0 0 0 0 0 ],6
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-74,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,403469593,0,110,0,0,403.847,128,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -69 0 -65 -2 -76 3 -75 2 -73 8 -61 4 -68 9 -68 8 -71 12 -69 11 -78 11 -76 7 -70 -1 -69 5 -67 25 -73 8 -67 12 -51 26 -67 18 -64 18 -62 27 -57 -2 -43 0 -62 -1 -40 4 -60 0 0 -10 -58 11 -46 -4 -57 -17 -53 -20 -48 -6 -51 -7 -50 -9 -55 -3 -55 -5 -49 1 -63 -15 -50 -10 -48 -1 -44 -10 -44 -14 -47 -13 -45 -7 -45 -11 -42 -13 -37 -6 -42 -11 -37 -11 -32 -8 -35 -12 -30 -13 -31 0 0 0 0 0 0 0 0 0 0 ],6
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-78,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,403542427,0,110,0,0,403.92,384,[110 96 6 0 0 0 0 0 0 0 0 0 25 2 27 5 25 4 28 5 25 4 29 4 27 5 26 6 28 10 25 5 26 7 31 7 27 7 26 7 26 6 25 9 23 6 25 7 24 6 24 10 23 7 23 5 22 3 21 6 24 5 23 6 0 0 23 4 22 5 21 6 21 0 20 4 21 2 20 2 18 1 18 3 20 1 18 0 18 -1 14 -2 16 -1 16 -2 16 -2 15 -3 13 -3 15 -3 12 -4 13 -3 10 -5 11 -6 10 -4 11 -6 12 -2 0 0 0 0 0 0 0 0 0 0 ],6
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-73,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,403641655,0,110,0,0,404.019,128,[110 96 6 0 0 0 0 0 0 0 0 0 -9 18 -10 26 -10 23 -22 23 -26 17 -13 24 -10 23 -9 19 -14 32 -15 21 -15 22 -22 18 -13 29 -7 33 -13 25 -18 28 -11 23 -11 17 -14 23 -16 21 -12 19 -13 20 -13 18 -14 18 -14 21 -14 19 0 0 -10 20 -11 20 -12 19 -9 19 -8 19 -9 18 -8 18 -7 16 -6 17 -8 14 -6 17 -6 16 -3 16 -5 16 -3 14 -4 17 -4 15 -3 15 -2 14 -2 13 -2 13 -2 13 1 12 0 12 0 10 0 9 0 0 0 0 0 0 0 0 0 0 ],6
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-78,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,403733779,0,110,0,0,404.111,384,[110 96 6 0 0 0 0 0 0 0 0 0 3 -25 5 -25 3 -24 5 -25 6 -25 8 -26 9 -25 7 -22 11 -24 8 -24 11 -25 12 -27 12 -23 12 -23 12 -21 14 -21 12 -22 12 -23 11 -22 13 -18 8 -22 10 -20 11 -24 12 -19 13 -21 6 -20 0 0 12 -19 5 -17 12 -18 6 -24 11 -17 11 -18 2 -21 8 -20 7 -18 6 -18 9 -14 0 -19 4 -15 6 -14 0 -16 4 -17 4 -13 3 -17 5 -15 0 -10 4 -11 3 -13 3 -10 1 -11 2 -10 1 -12 0 0 0 0 0 0 0 0 0 0 ],6
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-79,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,403815648,0,110,0,0,404.193,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -23 1 -25 1 -28 2 -24 2 -26 2 -26 2 -27 3 -26 3 -26 6 -27 -3 -28 10 -21 2 -22 6 -23 4 -25 6 -23 8 -24 6 -21 2 -24 7 -24 4 -22 8 -23 4 -22 6 -22 5 -20 2 -21 0 0 3 -21 3 -19 3 -19 2 -18 3 -18 5 -18 3 -18 0 -17 2 -16 0 -17 -1 -15 -1 -14 0 -15 -2 -14 -2 -15 -2 -19 0 -13 -2 -13 -1 -12 -3 -11 -1 -11 -2 -12 -4 -12 -5 -10 -3 -10 -5 -8 0 0 0 0 0 0 0 0 0 0 ],6
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-78,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,403902172,0,110,0,0,404.28,384,[110 96 6 0 0 0 0 0 0 0 0 0 8 -23 8 -22 10 -26 11 -25 13 -24 12 -21 12 -21 12 -22 13 -21 13 -22 16 -23 16 -24 15 -23 11 -22 11 -22 15 -25 10 -21 13 -19 11 -20 12 -20 12 -16 11 -19 15 -19 9 -18 10 -17 10 -13 0 0 14 -19 7 -8 6 -17 15 -19 8 -17 5 -18 7 -11 6 -16 5 -19 -1 -20 0 -19 7 -15 2 -12 3 -13 6 -13 1 -12 -2 -17 -3 -15 -2 -11 -2 -14 -2 -13 -1 -10 -3 -12 -1 -9 -1 -7 -5 -11 0 0 0 0 0 0 0 0 0 0 ],6
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-74,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,403995739,0,110,0,0,404.373,128,[110 96 6 0 0 0 0 0 0 0 0 0 -29 5 -28 5 -28 5 -31 5 -28 2 -29 3 -29 5 -26 4 -29 3 -26 3 -29 2 -30 1 -29 1 -28 3 -26 2 -28 1 -27 2 -23 3 -24 2 -23 1 -24 4 -23 2 -21 3 -22 3 -23 2 -22 1 0 0 -21 5 -21 5 -22 4 -20 5 -19 5 -19 5 -16 6 -16 6 -17 5 -15 3 -15 5 -12 6 -15 7 -13 5 -14 5 -14 6 -11 6 -11 5 -11 6 -10 4 -10 6 -9 5 -8 5 -7 5 -7 4 -8 4 0 0 0 0 0 0 0 0 0 0 ],6
