type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,n_personas
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-79,11,1,2,1,1,1,0,0,0,0,-97,0,6,1,66774107,0,110,0,0,67.1517,384,[110 96 6 0 0 0 0 0 0 0 0 0 -26 5 -26 5 -25 3 -28 3 -29 3 -28 0 -30 -1 -27 -1 -27 -2 -29 -2 -26 -2 -28 -1 -28 -5 -27 -5 -27 -2 -28 -4 -27 -6 -25 -3 -24 -5 -23 -3 -22 -5 -25 -3 -21 -3 -23 -4 -20 -5 -24 -4 0 0 -21 -4 -23 -3 -20 -2 -20 -1 -21 -2 -19 -1 -19 -1 -19 0 -18 0 -18 -1 -18 2 -17 2 -17 2 -19 5 -16 1 -18 3 -16 5 -14 5 -14 5 -15 7 -14 3 -12 5 -14 4 -14 6 -13 7 -13 6 0 0 0 0 0 0 0 0 0 0 ],7
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-75,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,66857832,0,110,0,0,67.2356,128,[110 96 6 0 0 0 0 0 0 0 0 0 25 -10 27 -9 27 -11 27 -12 26 -9 26 -7 26 -7 23 -6 25 -6 24 -7 28 -6 27 -5 26 -3 26 -4 25 -2 27 -4 25 -2 21 -5 22 -4 23 -3 21 -4 23 -2 21 -3 19 -3 21 -1 22 -3 0 0 20 -4 20 -3 19 -5 19 -4 18 -6 19 -3 19 -5 15 -5 17 -7 15 -7 16 -4 14 -5 15 -6 14 -5 14 -6 15 -5 16 -7 14 -7 13 -6 12 -6 14 -6 12 -8 10 -6 11 -6 11 -8 11 -8 0 0 0 0 0 0 0 0 0 0 ],7
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-79,11,1,2,1,1,1,0,0,0,0,-97,0,6,1,66946523,0,110,0,0,67.3239,384,[110 96 6 0 0 0 0 0 0 0 0 0 14 -12 16 -9 19 -11 17 -11 17 -9 21 -10 18 -8 18 -8 18 -10 18 -8 20 -10 20 -10 21 -7 19 -5 19 -5 23 -5 21 -6 17 -8 16 -4 17 -7 12 -5 23 -8 17 -3 13 -5 12 -6 19 -7 0 0 16 -4 17 -7 18 -4 15 -4 9 -9 16 -4 14 -5 12 -2 9 -9 15 -5 16 -12 8 -8 9 -8 13 -7 11 -5 10 -8 9 -7 10 -9 7 -9 9 -8 10 -9 7 -9 8 -8 7 -11 9 -9 5 -9 0 0 0 0 0 0 0 0 0 0 ],7
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-79,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,67051075,0,110,0,0,67.4287,384,[110 96 6 0 0 0 0 0 0 0 0 0 32 -16 33 -13 33 -13 39 -14 38 -10 33 -7 36 -9 33 -9 36 -7 37 -11 42 -5 35 -6 39 -3 36 -9 33 0 29 -4 37 -5 34 -4 32 -2 28 2 35 -2 38 -4 24 -11 37 -14 38 13 41 -4 0 0 24 2 22 -15 27 -8 32 -17 22 -13 28 -14 27 -6 28 -8 30 -12 22 -5 23 -15 19 -11 24 -13 20 -16 27 -14 18 -13 21 -10 22 -12 20 -13 14 -17 22 -16 16 -14 15 -13 14 -16 14 -14 11 -12 0 0 0 0 0 0 0 0 0 0 ],7
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-75,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,67125325,0,110,0,0,67.5028,128,[110 96 6 0 0 0 0 0 0 0 0 0 -13 -23 -13 -22 -14 -24 -13 -24 -11 -25 -10 -24 -12 -25 -9 -24 -11 -25 -11 -24 -10 -26 -8 -27 -9 -26 -8 -25 -8 -24 -8 -26 -10 -23 -8 -21 -8 -23 -7 -23 -7 -21 -8 -23 -8 -19 -9 -23 -8 -21 -7 -21 0 0 -9 -20 -9 -19 -8 -20 -11 -18 -8 -17 -8 -17 -10 -17 -8 -15 -12 -15 -8 -15 -9 -16 -8 -14 -11 -14 -8 -12 -10 -14 -10 -13 -10 -13 -11 -12 -12 -13 -11 -11 -10 -12 -10 -8 -11 -8 -9 -10 -11 -8 -10 -8 0 0 0 0 0 0 0 0 0 0 ],7
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-80,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,67225710,0,110,0,0,67.6032,384,[110 96 6 0 0 0 0 0 0 0 0 0 -14 21 -14 21 -14 19 -19 21 -16 19 -17 15 -17 20 -20 20 -19 20 -20 17 -22 15 -21 14 -23 15 -18 16 -22 14 -21 13 -20 15 -20 12 -18 12 -22 10 -22 16 -16 16 -19 9 -16 11 -22 15 -16 14 0 0 -21 12 -19 8 -14 10 -13 14 -14 13 -15 12 -16 9 -12 14 -12 12 -13 12 -12 11 -13 12 -11 10 -6 15 -11 11 -11 14 -8 13 -7 13 -10 13 -7 11 -7 11 -8 12 -5 13 -6 12 -5 9 -5 13 0 0 0 0 0 0 0 0 0 0 ],7
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-80,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,67310013,0,110,0,0,67.6876,384,[110 96 6 0 0 0 0 0 0 0 0 0 -9 -21 -6 -23 -2 -26 -5 -25 -5 -27 -3 -26 -4 -26 -1 -25 0 -27 -4 -27 1 -29 -1 -25 -1 -27 -3 -27 1 -22 -2 -24 -2 -23 -1 -24 0 -26 -1 -24 0 -20 2 -24 -3 -24 -1 -22 0 -25 -1 -21 0 0 -3 -23 -3 -20 -5 -22 -1 -18 -4 -17 -4 -18 -5 -16 -5 -16 -4 -14 -5 -16 -6 -16 -3 -18 -9 -15 -9 -17 -6 -14 -8 -13 -7 -14 -8 -11 -11 -14 -9 -13 -8 -14 -5 -12 -11 -13 -8 -6 -11 -8 -11 -9 0 0 0 0 0 0 0 0 0 0 ],7
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-75,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,67404071,0,110,0,0,67.7818,128,[110 96 6 0 0 0 0 0 0 0 0 0 21 -10 22 -8 22 -7 22 -10 22 -8 21 -6 23 -7 21 -5 22 -6 22 -5 24 -5 24 -5 24 -4 23 -6 21 -4 23 -3 22 -5 20 -5 20 -2 21 -4 19 -4 18 -7 18 -3 20 -4 21 -5 18 -4 0 0 19 -6 19 -5 18 -5 17 -7 18 -6 16 -5 16 -6 14 -5 14 -8 13 -4 17 -7 13 -7 14 -8 13 -7 13 -8 14 -8 13 -8 12 -8 12 -8 10 -9 11 -8 10 -8 11 -9 9 -9 7 -9 8 -10 0 0 0 0 0 0 0 0 0 0 ],7
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-80,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,67506751,0,110,0,0,67.8844,384,[110 96 6 0 0 0 0 0 0 0 0 0 17 13 16 16 18 14 18 17 19 19 16 16 14 19 16 18 12 18 12 20 13 23 14 20 9 20 13 22 13 17 15 24 8 22 12 17 10 22 9 18 7 19 10 21 11 21 14 16 10 19 13 17 0 0 9 16 9 15 8 19 11 15 8 14 12 12 7 16 10 15 8 10 9 15 12 13 10 15 8 13 10 11 11 9 10 12 9 12 7 9 11 10 12 6 12 10 9 8 11 6 12 6 13 4 11 6 0 0 0 0 0 0 0 0 0 0 ],7
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-80,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,67576906,0,110,0,0,67.9546,384,[110 96 6 0 0 0 0 0 0 0 0 0 -22 12 -21 13 -23 9 -23 11 -22 11 -21 11 -24 5 -22 9 -25 8 -25 7 -27 7 -28 6 -25 4 -27 6 -23 4 -25 3 -24 4 -22 4 -23 2 -21 2 -22 3 -23 3 -23 3 -26 3 -23 3 -22 3 0 0 -21 3 -21 6 -21 4 -18 7 -19 3 -20 6 -17 5 -17 6 -19 6 -18 6 -18 4 -16 8 -16 7 -12 8 -15 7 -15 9 -16 5 -13 6 -13 7 -14 5 -13 11 -13 7 -13 6 -13 9 -11 9 -10 9 0 0 0 0 0 0 0 0 0 0 ],7
CSI_DATA,STA,E0:8C:FE:5C:56:F1,-75,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,67668194,0,110,0,0,68.046,128,[110 96 6 0 0 0 0 0 0 0 0 0 16 20 16 22 15 25 17 24 14 25 12 25 12 25 11 24 14 25 11 23 13 26 11 26 10 30 11 26 11 25 13 27 10 25 9 23 11 24 9 19 10 23 10 21 9 20 10 24 9 23 9 22 0 0 9 20 9 20 10 19 11 17 14 17 11 17 11 16 8 15 12 15 10 16 11 16 11 13 11 14 11 14 11 14 12 13 13 13 11 12 12 11 12 9 12 10 13 9 12 10 12 11 11 8 11 7 0 0 0 0 0 0 0 0 0 0 ],7
